epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3880.43,0.58651,0.53726,1.14734,0.01032,0.86251,0.65547,0.7413,0.71001,0.57854,0.65547,0.7413,0.7077,0.66204,0.72593,0.50813,2.01843,0.02283,0,0.000881401,0.000881401,0.000881401
29,4017.49,0.61266,0.53705,1.15534,0.01091,0.87196,0.66538,0.59958,0.65952,0.52748,0.66785,0.60196,0.65879,0.61585,0.86139,0.49235,2.68643,0.02934,0,0.000872857,0.000872857,0.000872857
30,4156.79,0.62853,0.54658,1.17187,0.01111,0.86554,0.65375,0.76118,0.70771,0.58282,0.65819,0.73793,0.69826,0.66463,0.80964,0.56167,2.53293,0.02717,0,0.00086406,0.00086406,0.00086406
31,4292.92,0.6024,0.50564,1.15868,0.01069,0.86848,0.69001,0.73865,0.70723,0.58796,0.68766,0.73225,0.7028,0.67057,0.74045,0.5401,2.59364,0.02382,0,0.000855018,0.000855018,0.000855018
32,4429.61,0.58417,0.47383,1.09144,0.01014,0.83886,0.65839,0.72679,0.71078,0.5872,0.6563,0.72441,0.7063,0.66547,0.73692,0.49132,2.46961,0.02372,0,0.000845736,0.000845736,0.000845736
33,4564.79,0.59041,0.50945,1.12787,0.01039,0.856,0.7203,0.7437,0.72983,0.58552,0.71813,0.74132,0.72683,0.67695,0.79792,0.48703,2.32756,0.02653,0,0.00083622,0.00083622,0.00083622
34,4704.22,0.58961,0.49542,1.12919,0.01055,0.82274,0.65275,0.73212,0.71719,0.60358,0.66026,0.73887,0.72927,0.67118,0.6743,0.51572,2.78048,0.02243,0,0.000826477,0.000826477,0.000826477
35,4845.85,0.57425,0.47671,1.09062,0.01017,0.83114,0.69103,0.79119,0.74357,0.61174,0.69103,0.79119,0.74251,0.69012,0.7001,0.42843,2.08075,0.02284,0,0.000816514,0.000816514,0.000816514
36,4981.95,0.55157,0.45891,1.0269,0.00978,0.80242,0.72385,0.73086,0.7128,0.57916,0.7238,0.73143,0.71047,0.65493,0.75784,0.49363,2.52403,0.0236,0,0.000806337,0.000806337,0.000806337
37,5118.07,0.54992,0.45665,1.06817,0.00945,0.82779,0.71826,0.75817,0.72547,0.61074,0.71592,0.75579,0.72025,0.68726,0.74044,0.45204,2.9083,0.02377,0,0.000795954,0.000795954,0.000795954
38,5254.9,0.5513,0.46752,1.07165,0.00964,0.84146,0.68247,0.74679,0.7306,0.61226,0.6803,0.74441,0.72697,0.69984,0.71668,0.4883,2.20929,0.02258,0,0.000785371,0.000785371,0.000785371
39,5396.2,0.5591,0.49811,1.08218,0.00975,0.81788,0.70059,0.72101,0.70528,0.59739,0.69556,0.71677,0.69833,0.65748,0.66166,0.47863,2.72946,0.02104,0,0.000774596,0.000774596,0.000774596
40,5537.12,0.54126,0.43321,1.0653,0.00942,0.80494,0.63594,0.75527,0.71573,0.5811,0.63793,0.75765,0.71706,0.66857,0.8281,0.47388,1.753,0.02842,0,0.000763637,0.000763637,0.000763637
41,5674.24,0.52545,0.43892,0.97556,0.00916,0.78088,0.73701,0.74942,0.75276,0.62375,0.73317,0.74519,0.7473,0.713,0.66723,0.43085,2.05718,0.02111,0,0.0007525,0.0007525,0.0007525
42,5809.91,0.533,0.45211,1.03816,0.0091,0.7868,0.69304,0.77195,0.75834,0.64898,0.69076,0.76957,0.75523,0.71897,0.67743,0.45468,2.13308,0.02215,0,0.000741194,0.000741194,0.000741194
43,5947.59,0.52195,0.42339,1.01646,0.00922,0.79794,0.69967,0.75443,0.7467,0.61479,0.69967,0.75443,0.7444,0.69598,0.77398,0.45595,2.37267,0.02605,0,0.000729725,0.000729725,0.000729725
44,6085.74,0.52279,0.42543,1.001,0.00906,0.7692,0.71011,0.72124,0.73723,0.63436,0.71011,0.72124,0.73571,0.7055,0.66933,0.43427,2.34293,0.02166,0,0.000718103,0.000718103,0.000718103
45,6221.93,0.53607,0.46138,1.02552,0.00905,0.79552,0.71408,0.77099,0.74886,0.6226,0.7119,0.76861,0.74574,0.70498,0.68783,0.4703,2.17756,0.02297,0,0.000706335,0.000706335,0.000706335
46,6358.79,0.5055,0.43338,0.99481,0.00886,0.77179,0.73383,0.7232,0.74839,0.62196,0.73383,0.7232,0.74672,0.70641,0.7708,0.47303,2.26382,0.02559,0,0.000694428,0.000694428,0.000694428
47,6492.64,0.52442,0.433,0.98413,0.00902,0.75827,0.72305,0.72315,0.74063,0.62534,0.72305,0.72315,0.73983,0.7045,0.67614,0.45807,2.38661,0.02127,0,0.000682392,0.000682392,0.000682392
48,6627.99,0.52766,0.43114,0.97021,0.00954,0.75761,0.71705,0.77755,0.75889,0.64255,0.7132,0.7742,0.75239,0.72373,0.66007,0.44979,2.13955,0.02125,0,0.000670234,0.000670234,0.000670234
49,6766.29,0.51856,0.43269,1.00284,0.0087,0.76463,0.73191,0.78359,0.77904,0.67688,0.72812,0.77935,0.77245,0.74488,0.62343,0.41041,2.1283,0.01931,0,0.000657963,0.000657963,0.000657963
50,6902.76,0.47865,0.3982,0.97067,0.00827,0.76529,0.77431,0.71596,0.76828,0.66962,0.77271,0.71411,0.76603,0.73479,0.58308,0.48365,2.04718,0.01809,0,0.000645588,0.000645588,0.000645588
51,7040.25,0.51934,0.46029,0.97765,0.00874,0.73393,0.74847,0.70961,0.74741,0.62572,0.74669,0.70775,0.74214,0.70324,0.77469,0.48567,2.1915,0.02677,0,0.000633115,0.000633115,0.000633115
52,7177.79,0.51404,0.45941,0.97881,0.00882,0.75221,0.72415,0.68746,0.73729,0.63939,0.72355,0.6856,0.7347,0.7122,0.58928,0.42527,2.01258,0.01833,0,0.000620555,0.000620555,0.000620555
53,7315.12,0.49462,0.43909,0.95992,0.00828,0.7363,0.73115,0.79719,0.78671,0.68493,0.72963,0.79533,0.78479,0.74761,0.61993,0.45284,2.3757,0.02013,0,0.000607916,0.000607916,0.000607916
54,7453.79,0.487,0.42748,0.9298,0.00836,0.72881,0.74598,0.77227,0.76906,0.66602,0.74364,0.76989,0.76571,0.73595,0.59732,0.46227,2.24282,0.01797,0,0.000595207,0.000595207,0.000595207
55,7591.44,0.47846,0.41581,0.92036,0.00801,0.74252,0.74499,0.76692,0.77703,0.67573,0.74099,0.76269,0.77123,0.73792,0.53112,0.45778,1.97271,0.0164,0,0.000582435,0.000582435,0.000582435
56,7729.5,0.45774,0.3847,0.88399,0.00786,0.73135,0.7919,0.75954,0.7942,0.69391,0.7882,0.75531,0.78815,0.76012,0.54878,0.39868,2.24308,0.01698,0,0.00056961,0.00056961,0.00056961
57,7868.18,0.45594,0.38193,0.90401,0.0077,0.75757,0.7867,0.74098,0.77931,0.68345,0.7867,0.74098,0.77825,0.74498,0.57909,0.39914,2.23857,0.01818,0,0.000556742,0.000556742,0.000556742
58,8004.89,0.46485,0.39781,0.93288,0.00758,0.72468,0.80435,0.68777,0.75005,0.64187,0.80435,0.68777,0.74863,0.7105,0.58887,0.40406,2.14404,0.01818,0,0.000543837,0.000543837,0.000543837
59,8142.64,0.44316,0.37495,0.9187,0.0074,0.744,0.79004,0.75674,0.78165,0.67682,0.78782,0.75436,0.77776,0.74055,0.6053,0.42387,2.26622,0.01946,0,0.000530906,0.000530906,0.000530906
60,8279.88,0.45544,0.38907,0.90187,0.00758,0.71044,0.78155,0.75287,0.79369,0.69634,0.77737,0.74863,0.78748,0.75621,0.61156,0.39952,1.98492,0.02,0,0.000517958,0.000517958,0.000517958
61,8419.85,0.44535,0.38589,0.86611,0.0074,0.69565,0.78306,0.77578,0.79933,0.69077,0.78078,0.7734,0.7954,0.7532,0.64088,0.40059,1.98402,0.02083,0,0.000505,0.000505,0.000505
62,8559.16,0.4582,0.40281,0.88281,0.00786,0.7057,0.8357,0.69336,0.78604,0.68016,0.8357,0.69336,0.78546,0.74869,0.538,0.39599,1.94052,0.01703,0,0.000492042,0.000492042,0.000492042
63,8702.74,0.47822,0.4351,0.89805,0.00782,0.67756,0.82177,0.75859,0.79988,0.7055,0.81947,0.75621,0.79603,0.77052,0.51229,0.42968,2.30062,0.01544,0,0.000479094,0.000479094,0.000479094
64,8847.01,0.46135,0.42883,0.89257,0.00753,0.70125,0.84332,0.72576,0.79627,0.68559,0.84115,0.72338,0.79112,0.7529,0.59349,0.46853,1.91949,0.01935,0,0.000466163,0.000466163,0.000466163
65,8985.8,0.44282,0.41071,0.87371,0.00728,0.66377,0.8223,0.75808,0.80378,0.70722,0.81993,0.7557,0.7991,0.76807,0.57535,0.42282,1.95349,0.01787,0,0.000453258,0.000453258,0.000453258
66,9122.67,0.44056,0.39184,0.87419,0.00695,0.65916,0.83585,0.74497,0.79491,0.70829,0.83354,0.74259,0.79145,0.75621,0.51065,0.41162,1.98666,0.01539,0,0.00044039,0.00044039,0.00044039
67,9257.38,0.43582,0.38257,0.86036,0.00729,0.61334,0.81243,0.74336,0.79725,0.69623,0.80663,0.73912,0.79041,0.7564,0.58024,0.42282,2.25058,0.01824,0,0.000427565,0.000427565,0.000427565
68,9390.99,0.43431,0.40506,0.8697,0.00699,0.61832,0.8055,0.77811,0.81403,0.72406,0.8055,0.77811,0.81324,0.77758,0.51556,0.40653,2.09913,0.01562,0,0.000414793,0.000414793,0.000414793
69,9525.33,0.41589,0.38498,0.83645,0.00692,0.59569,0.79297,0.75058,0.80715,0.71248,0.79074,0.7482,0.80247,0.7756,0.49963,0.40063,2.52213,0.01523,0,0.000402084,0.000402084,0.000402084
70,9667.3,0.42867,0.37043,0.83673,0.00707,0.57899,0.83939,0.7467,0.80767,0.72234,0.83939,0.7467,0.80692,0.77965,0.52128,0.40427,1.76941,0.01599,0,0.000389445,0.000389445,0.000389445
71,9805.32,0.39413,0.34698,0.79186,0.0066,0.58398,0.81785,0.77008,0.81044,0.71954,0.81785,0.77008,0.80959,0.77718,0.54624,0.40679,1.84447,0.01702,0,0.000376885,0.000376885,0.000376885
72,9942.74,0.41389,0.38137,0.83288,0.00678,0.6104,0.82725,0.74879,0.79893,0.71478,0.84544,0.74031,0.79513,0.76917,0.5203,0.44158,1.96409,0.01574,0,0.000364412,0.000364412,0.000364412
73,10081.4,0.41006,0.36867,0.82254,0.00658,0.58298,0.81658,0.75277,0.81044,0.73964,0.81658,0.75277,0.81043,0.78465,0.46455,0.3935,1.82187,0.01371,0,0.000352037,0.000352037,0.000352037
74,10218.5,0.39536,0.36334,0.78228,0.00644,0.55835,0.8012,0.76314,0.80362,0.71757,0.8012,0.76314,0.8028,0.77043,0.50894,0.39058,1.67557,0.01526,0,0.000339766,0.000339766,0.000339766
75,10357.4,0.39757,0.35279,0.78471,0.0065,0.52519,0.84165,0.73803,0.80809,0.73212,0.84165,0.73803,0.80703,0.78441,0.48276,0.40397,1.84034,0.01426,0,0.000327608,0.000327608,0.000327608
76,10496.6,0.40333,0.3582,0.8056,0.00654,0.5635,0.79533,0.79545,0.81328,0.73108,0.79304,0.79307,0.81016,0.7852,0.48802,0.38946,1.42084,0.01458,0,0.000315572,0.000315572,0.000315572
77,10639.0,0.39766,0.35315,0.79716,0.00647,0.56332,0.81173,0.73741,0.81284,0.72949,0.80911,0.73503,0.80874,0.7818,0.52066,0.39339,1.9285,0.01615,0,0.000303665,0.000303665,0.000303665
78,10779.7,0.37701,0.35452,0.76897,0.00607,0.54388,0.80911,0.76173,0.81225,0.72939,0.80911,0.76173,0.81085,0.77786,0.49796,0.43474,1.631,0.01518,0,0.000291897,0.000291897,0.000291897
79,10921.3,0.40527,0.38354,0.81197,0.00645,0.55485,0.8088,0.74142,0.79855,0.72492,0.80634,0.73904,0.79456,0.77196,0.46569,0.39937,1.88036,0.01341,0,0.000280275,0.000280275,0.000280275
80,11061.6,0.38289,0.36043,0.75613,0.00632,0.54674,0.85999,0.74244,0.8099,0.72893,0.85999,0.74244,0.80867,0.77845,0.47569,0.44523,1.72997,0.01402,0,0.000268806,0.000268806,0.000268806
81,11202.6,0.36926,0.34768,0.75839,0.0059,0.5186,0.80056,0.76975,0.80656,0.73388,0.80056,0.76975,0.80521,0.77746,0.46119,0.39233,1.81873,0.01361,0,0.0002575,0.0002575,0.0002575
82,11344.5,0.38943,0.37145,0.76589,0.00623,0.53782,0.80928,0.75496,0.81351,0.74003,0.80666,0.75258,0.80847,0.78561,0.49505,0.44596,1.82848,0.01507,0,0.000246363,0.000246363,0.000246363
83,11485.1,0.37874,0.36772,0.76478,0.0059,0.51156,0.8239,0.76081,0.81583,0.74975,0.8239,0.76081,0.81525,0.78973,0.45651,0.44518,1.73528,0.01351,0,0.000235404,0.000235404,0.000235404
84,11625.0,0.37966,0.35679,0.78883,0.00592,0.54417,0.84875,0.73889,0.8037,0.72801,0.84477,0.73655,0.79952,0.77387,0.50566,0.39419,1.6444,0.01563,0,0.000224629,0.000224629,0.000224629
