epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2372.65,0.59587,0.40083,1.36991,0.01181,2.24613,0.34186,0.49025,0.32988,0.26284,0.34186,0.49025,0.32265,0.28467,0.65849,0.34638,4.33509,0.01995,0,0.000881401,0.000881401,0.000881401
29,2453.3,0.60167,0.40439,1.36642,0.01186,2.23583,0.38182,0.54765,0.37922,0.30024,0.37785,0.54332,0.36877,0.33222,0.61228,0.36022,4.84246,0.01886,0,0.000872857,0.000872857,0.000872857
30,2535.28,0.56469,0.36765,1.30301,0.01114,2.17453,0.3729,0.52555,0.36994,0.26052,0.37238,0.52098,0.35904,0.33224,0.95311,0.3255,3.92253,0.03476,0,0.00086406,0.00086406,0.00086406
31,2614.94,0.56501,0.42357,1.27361,0.01085,2.10944,0.30986,0.54805,0.34057,0.26849,0.30134,0.53699,0.31722,0.2887,0.60485,0.35077,4.04169,0.0179,0,0.000855018,0.000855018,0.000855018
32,2696.14,0.59957,0.4472,1.35356,0.01188,2.18074,0.26699,0.58195,0.3624,0.28004,0.24892,0.61212,0.35367,0.30979,0.68528,0.3561,4.72638,0.02162,0,0.000845736,0.000845736,0.000845736
33,2777.3,0.60875,0.39841,1.27989,0.01272,2.14454,0.36449,0.54988,0.38849,0.30053,0.37249,0.52393,0.3836,0.33416,0.6951,0.32342,4.44545,0.02262,0,0.00083622,0.00083622,0.00083622
34,2858.14,0.55576,0.41473,1.27667,0.01102,2.13281,0.35243,0.54066,0.39923,0.31292,0.3513,0.53633,0.38254,0.35672,0.6654,0.32194,3.69228,0.02057,0,0.000826477,0.000826477,0.000826477
35,2938.85,0.52851,0.36092,1.24381,0.01061,2.0825,0.3544,0.63264,0.40253,0.31507,0.3544,0.63264,0.39674,0.35207,0.72441,0.30587,3.68986,0.02301,0,0.000816514,0.000816514,0.000816514
36,3019.26,0.52881,0.41057,1.26811,0.00994,2.1353,0.40591,0.53543,0.37391,0.30465,0.40252,0.5311,0.36928,0.33086,0.61474,0.30007,4.00978,0.01937,0,0.000806337,0.000806337,0.000806337
37,3098.67,0.52662,0.39615,1.25274,0.01059,2.22776,0.46102,0.60306,0.44473,0.35598,0.45661,0.59313,0.43474,0.39682,0.5819,0.311,4.16615,0.0185,0,0.000795954,0.000795954,0.000795954
38,3180.57,0.52105,0.38273,1.22081,0.01022,2.10802,0.42514,0.58151,0.45531,0.36709,0.42514,0.58151,0.45023,0.41084,0.61336,0.31611,4.0623,0.01953,0,0.000785371,0.000785371,0.000785371
39,3260.45,0.50816,0.33977,1.18455,0.01024,2.02121,0.48234,0.55653,0.46632,0.38493,0.48234,0.55653,0.46019,0.42702,0.60124,0.30664,4.08237,0.01933,0,0.000774596,0.000774596,0.000774596
40,3340.39,0.53622,0.3932,1.2337,0.01072,2.05112,0.39792,0.60804,0.47898,0.37948,0.39933,0.60804,0.47025,0.42416,0.61591,0.30668,3.82556,0.01945,0,0.000763637,0.000763637,0.000763637
41,3420.94,0.53484,0.32248,1.14224,0.01065,2.06003,0.44836,0.6337,0.46384,0.37829,0.44836,0.6337,0.45878,0.42357,0.55341,0.32468,4.17836,0.0166,0,0.0007525,0.0007525,0.0007525
42,3503.16,0.55461,0.42061,1.22751,0.01043,1.97522,0.44894,0.58324,0.49359,0.39707,0.475,0.54578,0.48579,0.45727,0.62247,0.32683,3.69095,0.0207,0,0.000741194,0.000741194,0.000741194
43,3584.86,0.51997,0.3206,1.15893,0.01069,2.00628,0.50217,0.52231,0.47859,0.39109,0.50217,0.52231,0.4677,0.42886,0.57321,0.32316,3.61823,0.01724,0,0.000729725,0.000729725,0.000729725
44,3666.03,0.52009,0.41341,1.19323,0.01007,2.00397,0.32232,0.45479,0.38562,0.30736,0.32994,0.4471,0.37299,0.33359,0.58399,0.37906,4.39729,0.0193,0,0.000718103,0.000718103,0.000718103
45,3748.63,0.49277,0.3669,1.12851,0.01002,1.87667,0.47077,0.56036,0.47899,0.39038,0.47077,0.56036,0.47385,0.42925,0.65873,0.3501,3.818,0.02151,0,0.000706335,0.000706335,0.000706335
46,3830.97,0.49865,0.37122,1.19343,0.0094,1.92804,0.52121,0.61007,0.51404,0.431,0.52665,0.60584,0.50694,0.46668,0.58049,0.34623,3.35068,0.01752,0,0.000694428,0.000694428,0.000694428
47,3914.38,0.46918,0.33486,1.1585,0.00949,1.97163,0.41328,0.58481,0.39195,0.32207,0.41457,0.58577,0.38934,0.34925,0.58834,0.3231,3.88308,0.01859,0,0.000682392,0.000682392,0.000682392
48,3995.44,0.48805,0.37901,1.15228,0.0097,1.91647,0.34646,0.62734,0.45309,0.36905,0.34145,0.61917,0.44393,0.4002,0.59525,0.34677,5.08429,0.01857,0,0.000670234,0.000670234,0.000670234
49,4077.65,0.49993,0.40115,1.19673,0.00948,1.85366,0.43396,0.59233,0.46905,0.36822,0.43396,0.59233,0.4632,0.41116,0.67639,0.3178,4.12942,0.02265,0,0.000657963,0.000657963,0.000657963
50,4158.79,0.48422,0.35903,1.18238,0.00959,1.81892,0.47496,0.6417,0.48586,0.40281,0.4715,0.63737,0.48073,0.43898,0.56149,0.32269,3.74578,0.01785,0,0.000645588,0.000645588,0.000645588
51,4240.07,0.49645,0.3808,1.16244,0.00943,1.79613,0.45258,0.54785,0.46571,0.38254,0.45258,0.54785,0.46251,0.41472,0.58222,0.31239,4.07392,0.01857,0,0.000633115,0.000633115,0.000633115
52,4321.84,0.49558,0.38516,1.17785,0.00953,1.80175,0.43701,0.64473,0.4815,0.4034,0.43701,0.64473,0.47923,0.44329,0.61402,0.29613,3.93728,0.01926,0,0.000620555,0.000620555,0.000620555
53,4405.48,0.48624,0.36899,1.13809,0.0097,1.81207,0.52472,0.56175,0.50181,0.41237,0.52472,0.56175,0.49629,0.45117,0.57224,0.31615,4.30575,0.01765,0,0.000607916,0.000607916,0.000607916
54,4491.55,0.50728,0.38951,1.16853,0.00989,1.71116,0.51035,0.62463,0.50632,0.43125,0.51035,0.62463,0.50198,0.47082,0.53827,0.30092,4.09492,0.01708,0,0.000595207,0.000595207,0.000595207
55,4574.9,0.48034,0.40493,1.19808,0.00936,1.77648,0.50141,0.62073,0.48645,0.40299,0.49851,0.6164,0.47871,0.436,0.56284,0.3189,3.85324,0.01825,0,0.000582435,0.000582435,0.000582435
56,4657.31,0.44275,0.33741,1.12871,0.00865,1.83009,0.47333,0.52085,0.46578,0.39526,0.47333,0.52085,0.45882,0.42927,0.48395,0.30934,3.85056,0.01493,0,0.00056961,0.00056961,0.00056961
57,4739.64,0.44555,0.36022,1.13325,0.00834,1.76008,0.46312,0.59598,0.50815,0.42457,0.45963,0.59165,0.50128,0.45807,0.54932,0.30148,4.59377,0.01761,0,0.000556742,0.000556742,0.000556742
