epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1137.8,0.65435,0.56744,0.93519,0.01098,0.95797,0.86889,0.84008,0.85368,0.71145,0.86424,0.83591,0.84671,0.82321,0.78826,0.56507,0.76499,0.02339,0,0.000881401,0.000881401,0.000881401
29,1178.8,0.64172,0.62758,0.89631,0.00999,0.90995,0.88559,0.87977,0.90274,0.74932,0.88381,0.87639,0.89862,0.87267,0.75791,0.54163,0.79501,0.02214,0,0.000872857,0.000872857,0.000872857
30,1220.55,0.65419,0.60054,0.86849,0.01068,0.81903,0.88482,0.86791,0.89351,0.71709,0.92368,0.83307,0.88918,0.86937,0.85688,0.5572,0.75306,0.02599,0,0.00086406,0.00086406,0.00086406
31,1261.62,0.62685,0.57076,0.84849,0.01024,0.8448,0.87378,0.84088,0.88632,0.73629,0.86968,0.83671,0.88024,0.86373,0.75009,0.73532,0.76711,0.02224,0,0.000855018,0.000855018,0.000855018
32,1302.58,0.64355,0.58654,0.85267,0.01063,0.8625,0.85694,0.83233,0.87572,0.70319,0.85285,0.82816,0.87168,0.82705,0.81752,0.83317,0.80587,0.02518,0,0.000845736,0.000845736,0.000845736
33,1344.25,0.65302,0.5715,0.93955,0.01015,0.95664,0.91246,0.83085,0.88691,0.72075,0.90816,0.82669,0.88245,0.85953,0.7787,0.71424,0.69903,0.02332,0,0.00083622,0.00083622,0.00083622
34,1385.43,0.63399,0.56121,0.85973,0.01006,0.85992,0.87851,0.85198,0.86298,0.70514,0.88039,0.84782,0.85906,0.83723,0.7753,0.59903,0.82186,0.02345,0,0.000826477,0.000826477,0.000826477
35,1426.31,0.63075,0.5532,0.82739,0.01021,0.83222,0.87668,0.85574,0.88977,0.73336,0.87274,0.85158,0.88511,0.87167,0.76452,0.57309,0.80216,0.0224,0,0.000816514,0.000816514,0.000816514
36,1467.12,0.60953,0.56389,0.79716,0.00971,0.83009,0.89656,0.86386,0.8747,0.73008,0.89249,0.85969,0.86909,0.83787,0.68818,0.54368,0.68653,0.02,0,0.000806337,0.000806337,0.000806337
37,1507.86,0.61263,0.51504,0.78657,0.00967,0.76314,0.90605,0.85797,0.87918,0.74052,0.90166,0.85388,0.87492,0.85661,0.71108,0.58431,0.74185,0.0211,0,0.000795954,0.000795954,0.000795954
38,1548.91,0.62148,0.60045,0.8321,0.00976,0.79359,0.85876,0.89783,0.90162,0.72385,0.85876,0.89783,0.89396,0.87035,0.71059,0.57455,0.74593,0.02124,0,0.000785371,0.000785371,0.000785371
39,1590.38,0.60105,0.57264,0.834,0.00978,0.84947,0.88265,0.8457,0.88412,0.74773,0.88265,0.8457,0.88465,0.86698,0.68367,0.66335,0.76769,0.02017,0,0.000774596,0.000774596,0.000774596
40,1631.5,0.64252,0.55443,0.84229,0.01006,0.77014,0.91968,0.88645,0.92536,0.76298,0.91571,0.88257,0.92084,0.89259,0.73242,0.6743,0.65541,0.02186,0,0.000763637,0.000763637,0.000763637
41,1672.65,0.63121,0.55859,0.82043,0.01025,0.81862,0.88926,0.88394,0.91093,0.73629,0.885,0.87991,0.90617,0.87331,0.8087,0.69003,0.67484,0.02466,0,0.0007525,0.0007525,0.0007525
42,1714.45,0.60259,0.55545,0.78168,0.00936,0.78051,0.91928,0.84829,0.88016,0.73407,0.91476,0.84449,0.87438,0.8592,0.71814,0.70599,0.68875,0.02134,0,0.000741194,0.000741194,0.000741194
